concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Amares;0,06;18359;0,685603791;0,141456506;0,172939703;0,095;0,054469198;0,054469198;788,3;6,98;0,517;9432,8;16;2016
Anadia;0,31;28064;0,631307013;0,115735462;0,252957526;0,06;0,035632839;0,035632839;914,3;6,91;0,524;3231,4;30;2016
Ansiao;0,56;12609;0,620667777;0,112459354;0,266872869;0,079;0,07930843;0,07930843;825,3;6,33;0,529;2620,1;13;2016
Arcos de Valdevez;0,44;21753;0,576196387;0,105364777;0,318438836;0,07;0;0,045970671;799,3;5,44;0,546;7602,5;17;2016
Arganil;0,67;11477;0,616014638;0,102988586;0,280996776;0,07;0;0,087130783;804,3;5,96;0,526;637,1;11;2016
Armamar;0,77;5973;0,630001674;0,108320777;0,261677549;0,096;0;0,167420057;788,3;5,9;0,533;3145,5;6;2016
Arouca;0,74;21460;0,669664492;0,140307549;0,190027959;0,05;0,046598322;0,046598322;788,3;6,38;0,522;4461,1;21;2016
Arraiolos;0,54;7155;0,616491964;0,11572327;0,267784766;0,076;0;0,139762404;881,3;6,54;0,518;819,2;8;2016
Arronches;0,38;3015;0,604311774;0,07827529;0,317412935;0,077;0;0,331674959;795,3;5,82;0,525;1052,3;4;2016
Arruda dos Vinhos;0,29;14367;0,641818055;0,171225726;0,186956219;0,045;0;0,069603954;979,3;7,86;0,516;13548,5;16;2016
Aveiro;0;76909;0,671481881;0,142259033;0,186259085;0,073;0,026004759;0,013002379;1060,3;8,67;0,533;7116,2;125;2016
Avis;0,6;4414;0,611463525;0,09764386;0,290892614;0,086;0;0,22655188;815,3;5,91;0,525;915,4;9;2016
Azambuja;0,37;22262;0,655736232;0,13493846;0,209325308;0,046;0;0,044919594;1058,3;7,03;0,476;21964;35;2016
Baiao;0,26;19585;0,672657646;0,130303804;0,19703855;0,143;0;0,051059484;749,3;5,58;0,522;2925,4;9;2016
Barcelos;0;118808;0,70153525;0,143180594;0,155284156;0,055;0,033667766;0,016833883;820,3;6,86;0,52;60243,3;97;2016
Barrancos;0;1728;0,642361111;0,133680556;0,223958333;0,138;0;0,578703704;745,3;6,7;0,511;1821,5;2;2016
Barreiro;0;76604;0,611273563;0,143843664;0,244882774;0,1;0,013054149;0,026108297;990,3;7,95;0,532;39371,8;85;2016
Batalha;0,36;15816;0,659079413;0,144600405;0,196320182;0,046;0;0,063227112;887,3;7,22;0,523;5275,8;14;2016
Beja;0,26;34372;0,631444199;0,151925986;0,216629815;0,082;0,029093448;0,029093448;954,3;7,96;0,514;2980;57;2016
Belmonte;0,43;6554;0,642966128;0,105279219;0,251754654;0,099;0;0,152578578;780,3;6,38;0,519;855,3;10;2016
Benavente;0;29878;0,659113729;0,17045987;0,170426401;0,084;0;0,033469442;966,3;7,66;0,517;29185,5;34;2016
Bombarral;0,2;12703;0,640399906;0,129575691;0,230024404;0,058;0;0,078721562;834,3;6,79;0,519;13155,5;18;2016
Borba;0,38;7078;0,615993218;0,11458039;0,269426392;0,086;0;0,141282848;878,3;6,3;0,512;1833,1;7;2016
Boticas;0,22;5352;0,589872945;0,093049327;0,317077728;0,085;0;0,186846039;769,3;5,07;0,528;5731;2;2016
Braga;0;181528;0,701511613;0,151563395;0,146924992;0,089;0,02754396;0,016526376;959,3;8,59;0,526;12121,9;213;2016
Braganca;0,28;34187;0,649106385;0,116945038;0,233948577;0,072;0,029250885;0,029250885;883,3;7,81;0,519;2523,8;48;2016
Cabeceiras de Basto;0,35;16202;0,669732132;0,144426614;0,185841254;0,121;0;0,061720775;761,3;6,37;0,515;5566,3;12;2016
Cadaval;0,48;13855;0,603825334;0,132082281;0,264092385;0,06;0;0,07217611;831,3;6,41;0,518;14232,5;11;2016
